
Валовая прибыль предприятия %ВалютаОтчета%

Параметры:	Период: 01.01.2020 - 31.12.2020
	Показывать продажи: Кроме продаж между собственными юр. лицами
	Данные продаж: В валюте упр. учета без НДС
Отбор:	Склад Не в группе "Товары отгруж. без перехода прав.собст. "

Сегмент	Группа доступа	Клиент	Головное предприятие	Период, месяц	Выручка
Дальневосточный ФО	СФО Жучкова	Латыш ТВ, ИП, Якутск	Азанова ЕВ, ИП, Якутск	Август 2020 г.	195 205,65
Дальневосточный ФО	СФО Жучкова	Латыш ТВ, ИП, Якутск	Азанова ЕВ, ИП, Якутск	Сентябрь 2020 г.	67 916,05
Дальневосточный ФО	СФО Жучкова	Никифорова СС, ИП, Якутск			800 019,92
Дальневосточный ФО	СФО Жучкова	Никифорова СС, ИП, Якутск		Декабрь 2020 г.	800 019,92
Дальневосточный ФО	СФО Жучкова	Престиж, ООО, Якутск			135 773,46
Дальневосточный ФО	СФО Жучкова	Престиж, ООО, Якутск		Ноябрь 2020 г.	135 773,46
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск			2 835 540,50
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Июнь 2020 г.	210 160,41
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Июль 2020 г.	369 097,89
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Август 2020 г.	417 505,28
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Сентябрь 2020 г.	457 206,30
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Октябрь 2020 г.	397 800,66
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Ноябрь 2020 г.	959 485,71
Дальневосточный ФО	СФО Жучкова	Свинцицкий СВ, ИП, Якутск		Декабрь 2020 г.	24 284,25
Дальневосточный ФО	СФО Козулин	Строй Альянс, ООО, Хабаровск			102 107,47
Дальневосточный ФО	СФО Козулин	Строй Альянс, ООО, Хабаровск		Июль 2020 г.	102 107,47
Дальневосточный ФО	СФО Копылова	ЧукотХозТорг, ООО, Анадырь			408 577,35
Дальневосточный ФО	СФО Копылова	ЧукотХозТорг, ООО, Анадырь		Июль 2020 г.	408 577,35
Дальневосточный ФО	СФО Расулов	Батуев О.М. ИП, г. Благовещенск			268 171,30
Дальневосточный ФО	СФО Расулов	Батуев О.М. ИП, г. Благовещенск		Апрель 2020 г.	109 287,58
Дальневосточный ФО	СФО Расулов	Батуев О.М. ИП, г. Благовещенск		Июль 2020 г.	58 473,78
Дальневосточный ФО	СФО Расулов	Батуев О.М. ИП, г. Благовещенск		Октябрь 2020 г.	47 730,59
Дальневосточный ФО	СФО Расулов	Батуев О.М. ИП, г. Благовещенск		Декабрь 2020 г.	52 679,35
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово		545 522,58
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Март 2020 г.	76 885,56
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Май 2020 г.	59 713,05
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Июнь 2020 г.	88 686,87
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Июль 2020 г.	75 377,85
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Август 2020 г.	75 556,81
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Сентябрь 2020 г.	63 967,83
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Октябрь 2020 г.	79 546,82
Дальневосточный ФО	СФО Расулов	Мороз Е.В., ИП, Елизово	Блиадзе Л.В., ИП, г. Елизово	Ноябрь 2020 г.	25 787,79
Дальневосточный ФО	СФО Тактонова	ВАЛТЕК, ООО, Хабаровск			34 765,40
Дальневосточный ФО	СФО Тактонова	ВАЛТЕК, ООО, Хабаровск		Январь 2020 г.	34 765,40
Дальневосточный ФО	СФО Тактонова	Гордейчук ОП, ИП, Уссурийск			91 194,23
Дальневосточный ФО	СФО Тактонова	Гордейчук ОП, ИП, Уссурийск		Январь 2020 г.	91 194,23
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск			1 379 305,57
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Январь 2020 г.	81 540,46
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Февраль 2020 г.	66 138,97
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Апрель 2020 г.	261 887,95
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Июнь 2020 г.	192 445,41
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Июль 2020 г.	109 295,49
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Август 2020 г.	341 796,46
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Сентябрь 2020 г.	52 035,11
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Октябрь 2020 г.	74 535,68
Дальневосточный ФО	СФО Тактонова	Ким НЭ, ИП, Уссурийск		Декабрь 2020 г.	199 630,04
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск			310 945,18
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Январь 2020 г.	27 946,58
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Февраль 2020 г.	27 009,04
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Май 2020 г.	32 134,33
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Сентябрь 2020 г.	113 064,97
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Октябрь 2020 г.	47 119,43
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Ноябрь 2020 г.	28 762,72
Дальневосточный ФО	СФО Тактонова	Компания Аква Мастер, ООО, Хабаровск		Декабрь 2020 г.	34 908,11
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток			946 775,37
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Январь 2020 г.	22 011,62
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Март 2020 г.	276 954,61
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Май 2020 г.	35 796,78
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Июнь 2020 г.	105 061,80
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Июль 2020 г.	103 667,30
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Август 2020 г.	19 708,21
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Сентябрь 2020 г.	208 524,98
Дальневосточный ФО	СФО Тактонова	МегаоптВЛ, ООО, Владивосток		Октябрь 2020 г.	175 050,07
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск			5 180 300,22
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Январь 2020 г.	382 331,12
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Февраль 2020 г.	44 160,10
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Март 2020 г.	473 233,66
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Июнь 2020 г.	1 249 220,21
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Август 2020 г.	2 476 412,07
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Сентябрь 2020 г.	130 452,94
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Ноябрь 2020 г.	376 293,36
Дальневосточный ФО	СФО Тактонова	Метиз комплект, ООО, Хабаровск		Декабрь 2020 г.	48 196,76
Дальневосточный ФО	СФО Тактонова	Мистер, ООО, Хабаровск			158 342,52
Дальневосточный ФО	СФО Тактонова	Мистер, ООО, Хабаровск		Январь 2020 г.	158 342,52
Дальневосточный ФО	СФО Тактонова	Самохин АЛ, ИП, Уссурийск			1 385 178,97
Дальневосточный ФО	СФО Тактонова	Самохин АЛ, ИП, Уссурийск		Январь 2020 г.	388 189,63
Дальневосточный ФО	СФО Тактонова	Самохин АЛ, ИП, Уссурийск		Апрель 2020 г.	268 012,77
Дальневосточный ФО	СФО Тактонова	Самохин АЛ, ИП, Уссурийск		Август 2020 г.	379 288,82
Дальневосточный ФО	СФО Тактонова	Самохин АЛ, ИП, Уссурийск		Октябрь 2020 г.	349 687,75
Дальневосточный ФО	СФО Тактонова	Сервис МиК, ООО, Хабаровск			193 860,27
Дальневосточный ФО	СФО Тактонова	Сервис МиК, ООО, Хабаровск		Октябрь 2020 г.	193 860,27
Дальневосточный ФО	СФО Тактонова	СМ-ГРУПП, ООО, Хабаровск			65 611,83
Дальневосточный ФО	СФО Тактонова	СМ-ГРУПП, ООО, Хабаровск		Январь 2020 г.	65 611,83
Дальневосточный ФО	СФО Томлоп	СибНорд, ООО, Якутск			1 478 042,69
Дальневосточный ФО	СФО Томлоп	СибНорд, ООО, Якутск		Сентябрь 2020 г.	1 175 894,34
Дальневосточный ФО	СФО Томлоп	СибНорд, ООО, Якутск		Декабрь 2020 г.	302 148,35
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск			2 226 384,60
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Май 2020 г.	400 889,20
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Июнь 2020 г.	168 733,28
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Июль 2020 г.	580 638,33
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Август 2020 г.	122 463,37
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Сентябрь 2020 г.	186 778,37
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Октябрь 2020 г.	116 804,04
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Ноябрь 2020 г.	215 604,84
Дальневосточный ФО	СФО Хазеева	ТОРГОВЫЙ ДОМ ЗОДЧИЙ, ООО, Южно-Сахалинск		Декабрь 2020 г.	434 473,17
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский		902 088,30
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Февраль 2020 г.	163 171,16
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Март 2020 г.	174 527,71
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Июнь 2020 г.	106 312,63
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Сентябрь 2020 г.	102 070,60
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Ноябрь 2020 г.	48 022,72
Дальневосточный ФО	СФО Хвостова	Будникова И.Н, ИП, Петропавловск-Камчатский	ИНЖЕНЕР ТЕПЛОТЕХНИК,ООО,г. Петропавловск-Камчатский	Декабрь 2020 г.	307 983,48
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск		4 505 003,51
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Январь 2020 г.	450 182,41
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Февраль 2020 г.	1 024 367,83
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Апрель 2020 г.	395 544,25
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Май 2020 г.	471 271,76
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Июнь 2020 г.	136 818,13
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Июль 2020 г.	519 417,27
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Август 2020 г.	460 787,38
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Октябрь 2020 г.	1 040 776,17
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Ноябрь 2020 г.	9 070,81
Дальневосточный ФО	СФО Чемоданова	ГК Сантекс, ООО, Иркутск	Сантекс ТД, ООО, Иркутск	Декабрь 2020 г.	-3 232,50
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри			2 326 475,74
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Январь 2020 г.	30 772,60
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Февраль 2020 г.	32 216,51
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Март 2020 г.	87 153,83
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Апрель 2020 г.	134 156,88
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Май 2020 г.	369 365,68
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Июнь 2020 г.	427 445,32
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Июль 2020 г.	255 393,42
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Август 2020 г.	306 096,73
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Ноябрь 2020 г.	327 479,80
Дальневосточный ФО	СФО Чемоданова	Меринова НБ, ИП, Нерюнгри		Декабрь 2020 г.	356 394,97
Дальневосточный ФО	СФО Чемоданова	Металл Торг, ООО, Якутск			705 196,75
Дальневосточный ФО	СФО Чемоданова	Металл Торг, ООО, Якутск		Март 2020 г.	712 968,45
Дальневосточный ФО	СФО Чемоданова	Металл Торг, ООО, Якутск		Июнь 2020 г.	-7 771,70
Дальневосточный ФО	СФО Чемоданова	Сантех-Восток, ООО, Якутск			878 867,40
Дальневосточный ФО	СФО Чемоданова	Сантех-Восток, ООО, Якутск		Июнь 2020 г.	213 191,03
Дальневосточный ФО	СФО Чемоданова	Сантех-Восток, ООО, Якутск		Август 2020 г.	253 546,58
Дальневосточный ФО	СФО Чемоданова	Сантех-Восток, ООО, Якутск		Сентябрь 2020 г.	172 598,84
Дальневосточный ФО	СФО Чемоданова	Сантех-Восток, ООО, Якутск		Октябрь 2020 г.	239 530,95
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск		2 354 850,77
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Февраль 2020 г.	152 294,04
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Март 2020 г.	347 009,92
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Май 2020 г.	202 909,10
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Июнь 2020 г.	429 546,80
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Август 2020 г.	374 018,28
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Октябрь 2020 г.	674 268,84
Дальневосточный ФО	СФО Чемоданова	Шумейко ДЭ, ИП, Комсомольск-на-Амуре	Строительные Материалы-ДВ, ООО, Хабаровск	Ноябрь 2020 г.	174 803,79
Дальневосточный ФО	СФО Чучкалов	Несвитова Оксана Домировна, ИП, Камчатский край	Несвитов Владимир Викторович, ИП, Камчатский край		324 900,30
Дальневосточный ФО	СФО Чучкалов	Несвитова Оксана Домировна, ИП, Камчатский край	Несвитов Владимир Викторович, ИП, Камчатский край	Март 2020 г.	161 170,56
Дальневосточный ФО	СФО Чучкалов	Несвитова Оксана Домировна, ИП, Камчатский край	Несвитов Владимир Викторович, ИП, Камчатский край	Июль 2020 г.	163 729,74
ЕАЭС	СНГ Фаттакова	АКВАГАЗ, ТОО, Уральск			333 548,68
ЕАЭС	СНГ Фаттакова	АКВАГАЗ, ТОО, Уральск		Июнь 2020 г.	109 207,69
ЕАЭС	СНГ Фаттакова	АКВАГАЗ, ТОО, Уральск		Июль 2020 г.	122 727,19
ЕАЭС	СНГ Фаттакова	АКВАГАЗ, ТОО, Уральск		Ноябрь 2020 г.	101 613,80
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан		3 463 242,86
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Март 2020 г.	662 344,78
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Апрель 2020 г.	96 926,79
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Июнь 2020 г.	1 129 610,18
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Август 2020 г.	217 895,98
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Октябрь 2020 г.	629 217,43
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Ноябрь 2020 г.	554 981,14
ЕАЭС	СНГ Фаттакова	Алматерм Jetisu, ИП, Алматы (Абашев)	Алматерм, ТОО, Казахстан	Декабрь 2020 г.	172 266,56
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан		8 993 837,95
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Январь 2020 г.	582 231,18
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Февраль 2020 г.	146 229,97
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Март 2020 г.	469 812,06
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Апрель 2020 г.	67 194,57
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Май 2020 г.	676 246,11
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Июнь 2020 г.	1 038 927,42
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Июль 2020 г.	1 539 174,71
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Август 2020 г.	589 815,87
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Сентябрь 2020 г.	1 152 422,64
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Октябрь 2020 г.	995 976,78
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Ноябрь 2020 г.	935 680,18
ЕАЭС	СНГ Фаттакова	Алматерм KZ, ИП, Караганда	Алматерм, ТОО, Казахстан	Декабрь 2020 г.	800 126,46
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан		8 738 661,66
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Январь 2020 г.	715 433,71
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Февраль 2020 г.	806 796,63
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Март 2020 г.	484 027,85
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Май 2020 г.	1 169 706,80
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Июнь 2020 г.	217 309,72
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Июль 2020 г.	2 107 922,48
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Август 2020 г.	703 972,24
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Сентябрь 2020 г.	909 269,61
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Октябрь 2020 г.	660 421,52
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Ноябрь 2020 г.	567 609,66
ЕАЭС	СНГ Фаттакова	Алматерм Ontustik, ИП, Шымкент (Абдилов)	Алматерм, ТОО, Казахстан	Декабрь 2020 г.	396 191,44
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан		4 876 131,14
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Январь 2020 г.	526 256,87
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Май 2020 г.	609 610,02
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Июнь 2020 г.	785 198,54
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Июль 2020 г.	160 349,39
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Август 2020 г.	290 370,74
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Сентябрь 2020 г.	899 340,25
ЕАЭС	СНГ Фаттакова	Алматерм Актобе, ИП, Актобе	Алматерм, ТОО, Казахстан	Октябрь 2020 г.	694 060,07
