
Валовая прибыль предприятия %ВалютаОтчета%

Параметры:	Период: 01.01.2020 - 31.12.2020
	Показывать продажи: Кроме продаж между собственными юр. лицами
	Данные продаж: В валюте упр. учета без НДС
Отбор:	Склад Не в группе "Товары отгруж. без перехода прав.собст. "

Сегмент	Группа доступа	Клиент	Головное предприятие	Период, месяц	Выручка
	Группа доступа по умолчанию	Royal Plast Industri			679 572,37
	Группа доступа по умолчанию	Royal Plast Industri		Июнь 2020 г.	679 572,37
	Группа доступа по умолчанию	К-ПЛАСТ, ООО, Санкт-Петербург	ПК КРОСС, ООО, Санкт-Петербург		18 814,28
	Группа доступа по умолчанию	К-ПЛАСТ, ООО, Санкт-Петербург	ПК КРОСС, ООО, Санкт-Петербург	Декабрь 2020 г.	18 814,28
	КП	ООО «ЛИИС Инженерные решения»			381 437,91
	КП	ООО «ЛИИС Инженерные решения»		Январь 2020 г.	157 170,58
	КП	ООО «ЛИИС Инженерные решения»		Февраль 2020 г.	204 197,50
	КП	ООО «ЛИИС Инженерные решения»		Март 2020 г.	8 563,75
	КП	ООО «ЛИИС Инженерные решения»		Апрель 2020 г.	11 506,08
	КП	Сотрудник наш			404,84
	КП	Сотрудник наш		Июль 2020 г.	404,84
Дальневосточный ФО	СФО Без менеджера	Инжетерм, ООО, Якутск			8 170,84
Дальневосточный ФО	СФО Без менеджера	Инжетерм, ООО, Якутск		Август 2020 г.	8 170,84
Дальневосточный ФО	СФО Жучкова	Азанова ЕВ, ИП, Якутск			184 600,07
Дальневосточный ФО	СФО Жучкова	Азанова ЕВ, ИП, Якутск		Сентябрь 2020 г.	89 779,91
Дальневосточный ФО	СФО Жучкова	Азанова ЕВ, ИП, Якутск		Декабрь 2020 г.	94 820,16
Дальневосточный ФО	СФО Жучкова	Инсмарт, ООО, Якутск	Билмарт, ООО, Якутск		1 425 302,19
Дальневосточный ФО	СФО Жучкова	Инсмарт, ООО, Якутск	Билмарт, ООО, Якутск	Июнь 2020 г.	746 207,54
Дальневосточный ФО	СФО Жучкова	Инсмарт, ООО, Якутск	Билмарт, ООО, Якутск	Июль 2020 г.	-4 743,60
Дальневосточный ФО	СФО Жучкова	Инсмарт, ООО, Якутск	Билмарт, ООО, Якутск	Август 2020 г.	458 355,36
Дальневосточный ФО	СФО Жучкова	Инсмарт, ООО, Якутск	Билмарт, ООО, Якутск	Октябрь 2020 г.	225 482,89
Дальневосточный ФО	СФО Жучкова	Латыш ТВ, ИП, Якутск	Азанова ЕВ, ИП, Якутск		263 121,70
